	estimation error	validation error
tanh, zeros	45.23%	45.23%
tanh, uniform	 0.36%	 0.40%
tanh, gauss	 0.37%	 0.38%
tanh, xavier	 3.02%	 2.80%
tanh, relu	 0.23%	 0.29%
tanh, custom	 0.33%	 0.26%
relu, zeros	45.23%	45.23%
relu, uniform	 4.97%	 5.11%
relu, gauss	 0.38%	 0.41%
relu, xavier	10.83%	10.77%
relu, relu	 0.42%	 0.44%
relu, custom	 0.32%	 0.35%
prelu, zeros	45.23%	45.23%
prelu, uniform	 7.81%	 7.48%
prelu, gauss	 6.18%	 6.36%
prelu, xavier	 8.23%	 8.41%
prelu, relu	 7.67%	 8.00%
prelu, custom	 0.42%	 0.51%
